"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Stories","Lifetime Talking About This (Post)"
,,,,,,,,"Lifetime: The number of stories generated about your Page post. (Total Count)","Lifetime: The number of unique people who created a story by interacting with your Page post. (Unique Users)"
1906255039602883_2049050608656658,https://www.facebook.com/OmarSGhobash/videos/2049050608656658/,"You can find reviews of #TheLetters here:
https://www.omarghobash.com/letters-to-a-young-muslim/",Video,,,"01/06/2018 08:51:47 AM"," ",26,23
1906255039602883_2048792132015839,https://www.facebook.com/OmarSGhobash/posts/2048792132015839,"#Nietzche #Quotes",Photo,,,"01/05/2018 07:28:07 PM"," ",9,9
1906255039602883_2048574948704224,https://www.facebook.com/OmarSGhobash/posts/2048574948704224,"I published my first book a little over one year ago.",Link,,,"01/05/2018 07:11:21 AM"," ",117,116
1906255039602883_2048454218716297,https://www.facebook.com/OmarSGhobash/posts/2048454218716297,"This country was formed on the principles of tolerance, spirituality and open-mindedness, values it holds dear today.
#UAE #WorldReligions
https://www.thenational.ae/opinion/editorial/the-uae-has-a-long-history-of-tolerance-and-respect-for-all-faiths-1.690284",Link,,,"01/05/2018 12:59:51 AM"," ",40,37
1906255039602883_2048269545401431,https://www.facebook.com/OmarSGhobash/posts/2048269545401431,"The new cover for #TheLetters is out:
https://www.amazon.com/Letters-Young-Muslim-Omar-Ghobash/dp/1250119855/ref=tmm_pap_swatch_0?_encoding=UTF8&amp;qid=&amp;sr=",Link,,,"01/04/2018 02:10:09 PM"," ",93,91
1906255039602883_2048218998739819,https://www.facebook.com/OmarSGhobash/posts/2048218998739819,"Some Muslims demand that we accept only ideas that are Muslim in origin. Life is to be embraced as it is today. Knowledge cannot be evaded. Concepts and ideas exist in the air around us. We cannot choose to un-know ideas that came from somewhere else. #TheLetters",Status,,,"01/04/2018 11:27:57 AM"," ",15,13
1906255039602883_2048103112084741,https://www.facebook.com/OmarSGhobash/posts/2048103112084741,"Avec le Président de l' Université Paris-Sorbonne, le Professeur Jean Chambaz, parlant des relations Franco-Emiriennes dans le domaine de la coopération académique. 
#UAE #France",Photo,,,"01/04/2018 06:11:05 AM"," ",381,368
1906255039602883_2047929152102137,https://www.facebook.com/OmarSGhobash/videos/2047929152102137/,"You can read the full review of my book #TheLetters by Kareem Abdul-Jabbar here:
https://www.omarghobash.com/blog/2017/11/9/kareem-abdul-jabbar-reviews-letters-to-a-young-muslim-new-york-times-january-15-2017
#Books",Video,,,"01/03/2018 07:25:03 PM"," ",32,30
1906255039602883_2047864328775286,https://www.facebook.com/OmarSGhobash/videos/2047864328775286/,"The Louvre Abu Dhabi is a magnificent symbol of the thriving Emirati-French Relations and the UAE commitment, empowering various sectors, including the culture and arts, as a strategy to fight extremism. Interview with the Minister of Foreign Affairs, Sheikh Abdullah Zayed for CNN:",Video,,,"01/03/2018 05:38:14 PM"," ",44,34
